time, frequency 1, note 1, amplitude 1, frequency 2, note 2, amplitude 2, frequency 3, note 3, amplitude 3, frequency 4, note 4, amplitude 4, frequency 5, note 5, amplitude 5, frequency 6, note 6, amplitude 6, frequency 7, note 7, amplitude 7, frequency 8, note 8, amplitude 8, frequency 9, note 9, amplitude 9, frequency 10, note 10, amplitude 10, frequency 11, note 11, amplitude 11, frequency 12, note 12, amplitude 12, frequency 13, note 13, amplitude 13, frequency 14, note 14, amplitude 14, frequency 15, note 15, amplitude 15, frequency 16, note 16, amplitude 16, frequency 17, note 17, amplitude 17, frequency 18, note 18, amplitude 18, frequency 19, note 19, amplitude 19, frequency 20, note 20, amplitude 20
0.000, 9765.3076, D#9, 6.7402, 8441.0156, C9, 5.8155, 9754.5410, D#9, 5.1930, 8451.7822, C9, 5.1721, 7881.1523, B8, 5.0795, 7848.8525, B8, 4.6323, 6546.0938, G#8, 4.5628, 6556.8604, G#8, 4.4696, 4995.7031, D#8, 4.3443, 6890.6250, A8, 4.1167, 8462.5488, C9, 3.9590, 6858.3252, A8, 3.7965, 8430.2490, C9, 3.7531, 9786.8408, D#9, 3.6760, 7902.6855, B8, 3.5741, 7579.6875, A#8, 3.5218, 4984.9365, D#8, 3.5083, 7870.3857, B8, 3.4648, 6847.5586, A8, 3.4553, 7816.5527, B8, 3.4494
0.100, 7870.3857, B8, 5.4347, 4995.7031, D#8, 4.3468, 7881.1523, B8, 4.1124, 6879.8584, A8, 3.8458, 9765.3076, D#9, 3.3719, 6546.0938, G#8, 3.1547, 8171.8506, C9, 3.1462, 7902.6855, B8, 2.9696, 7913.4521, B8, 2.9396, 7848.8525, B8, 2.8529, 7816.5527, B8, 2.6770, 4984.9365, D#8, 2.5811, 6535.3271, G#8, 2.5317, 6556.8604, G#8, 2.4950, 7838.0859, B8, 2.4612, 7461.2549, A#8, 2.4276, 7891.9189, B8, 2.4044, 6384.5947, G8, 2.3850, 8451.7822, C9, 2.3649, 6869.0918, A8, 2.3400
0.200, 7881.1523, B8, 2.5721, 8451.7822, C9, 1.8296, 7870.3857, B8, 1.7765, 7461.2549, A#8, 1.5099, 7838.0859, B8, 1.5033, 8462.5488, C9, 1.4780, 8193.3838, C9, 1.4712, 5824.7314, F#8, 1.4050, 7891.9189, B8, 1.3998, 7310.5225, A#8, 1.2616, 10228.2715, D#9, 1.1663, 5620.1660, F8, 1.1645, 7848.8525, B8, 1.0752, 7450.4883, A#8, 1.0447, 6965.9912, A8, 1.0223, 6879.8584, A8, 0.9916, 6373.8281, G8, 0.9898, 7052.1240, A8, 0.9789, 9916.0400, D#9, 0.9779, 8204.1504, C9, 0.9732
0.300, 7902.6855, B8, 8.9841, 7891.9189, B8, 7.9082, 7913.4521, B8, 7.6718, 9754.5410, D#9, 6.4340, 9765.3076, D#9, 6.3900, 8430.2490, C9, 5.9249, 7881.1523, B8, 5.7837, 9366.9434, D9, 5.5838, 9377.7100, D9, 5.4908, 7019.8242, A8, 5.1532, 6858.3252, A8, 5.0616, 8419.4824, C9, 4.9540, 7461.2549, A#8, 4.7715, 7924.2188, B8, 4.7664, 6869.0918, A8, 4.6727, 7030.5908, A8, 4.5072, 7116.7236, A8, 4.3654, 9356.1768, D9, 4.3585, 9743.7744, D#9, 4.3156, 7450.4883, A#8, 4.2624
0.400, 8182.6172, C9, 5.6589, 6879.8584, A8, 5.4077, 8193.3838, C9, 5.2959, 9765.3076, D#9, 4.9971, 8441.0156, C9, 4.9292, 8451.7822, C9, 4.8341, 8893.2129, C#9, 4.4343, 7859.6191, B8, 4.0284, 6890.6250, A8, 4.0038, 8171.8506, C9, 3.9853, 7838.0859, B8, 3.9763, 5620.1660, F8, 3.8766, 7881.1523, B8, 3.8595, 7870.3857, B8, 3.8160, 5630.9326, F8, 3.8099, 10228.2715, D#9, 3.7532, 9313.1104, D9, 3.7208, 8462.5488, C9, 3.6715, 6373.8281, G8, 3.6583, 8903.9795, C#9, 3.6216
0.500, 7310.5225, A#8, 2.6992, 9786.8408, D#9, 2.6365, 5307.9346, E8, 2.5621, 8903.9795, C#9, 2.5535, 7299.7559, A#8, 2.3884, 10034.4727, D#9, 2.3681, 9323.8770, D9, 2.3038, 10023.7061, D#9, 2.2940, 9496.1426, D9, 2.2203, 8204.1504, C9, 2.1751, 5824.7314, F#8, 2.1447, 6384.5947, G8, 2.1040, 7870.3857, B8, 2.0923, 7881.1523, B8, 2.0711, 9506.9092, D9, 1.9889, 8860.9131, C#9, 1.9759, 10174.4385, D#9, 1.9520, 9334.6436, D9, 1.9323, 5318.7012, E8, 1.8934, 8850.1465, C#9, 1.8475
0.600, 7493.5547, A#8, 0.6760, 8171.8506, C9, 0.6306, 6546.0938, G#8, 0.6194, 9797.6074, D#9, 0.5893, 7913.4521, B8, 0.5872, 7838.0859, B8, 0.5863, 8182.6172, C9, 0.5860, 7848.8525, B8, 0.5787, 6395.3613, G8, 0.5524, 6406.1279, G8, 0.5217, 9786.8408, D#9, 0.5157, 6793.7256, G#8, 0.4967, 7881.1523, B8, 0.4900, 4995.7031, D#8, 0.4739, 6040.0635, F#8, 0.4730, 7095.1904, A8, 0.4659, 5824.7314, F#8, 0.4595, 8893.2129, C#9, 0.4578, 9851.4404, D#9, 0.4554, 5534.0332, F8, 0.4553
0.700, 9765.3076, D#9, 8.4435, 6546.0938, G#8, 7.1189, 7848.8525, B8, 6.6947, 9754.5410, D#9, 6.6577, 7881.1523, B8, 6.5992, 8430.2490, C9, 6.5803, 8441.0156, C9, 6.2981, 8204.1504, C9, 5.6771, 6556.8604, G#8, 5.6669, 8462.5488, C9, 5.4933, 9786.8408, D#9, 5.4867, 4995.7031, D#8, 5.4655, 7870.3857, B8, 5.3902, 8451.7822, C9, 5.1913, 6879.8584, A8, 5.1135, 6890.6250, A8, 5.0335, 7579.6875, A#8, 5.0278, 10292.8711, E9, 5.0258, 7493.5547, A#8, 4.8565, 8128.7842, B8, 4.8411
0.800, 7870.3857, B8, 4.4956, 4995.7031, D#8, 3.9418, 6879.8584, A8, 3.6508, 7859.6191, B8, 3.5029, 7848.8525, B8, 3.3263, 8171.8506, C9, 3.1244, 7838.0859, B8, 3.0957, 9765.3076, D#9, 3.0294, 6869.0918, A8, 2.9675, 7881.1523, B8, 2.8872, 7816.5527, B8, 2.8018, 7461.2549, A#8, 2.7005, 7827.3193, B8, 2.5791, 7913.4521, B8, 2.5689, 7052.1240, A8, 2.5514, 4984.9365, D#8, 2.5279, 9851.4404, D#9, 2.3895, 6395.3613, G8, 2.3655, 5824.7314, F#8, 2.3135, 8903.9795, C#9, 2.2866
0.900, 7881.1523, B8, 1.6632, 7870.3857, B8, 1.5258, 8451.7822, C9, 1.2855, 8193.3838, C9, 1.1739, 8204.1504, C9, 1.1441, 7891.9189, B8, 1.1185, 7461.2549, A#8, 1.0727, 7838.0859, B8, 1.0411, 7848.8525, B8, 1.0252, 8462.5488, C9, 0.9200, 9851.4404, D#9, 0.8732, 5824.7314, F#8, 0.8284, 6384.5947, G8, 0.8011, 7181.3232, A8, 0.7862, 6965.9912, A8, 0.7684, 5620.1660, F8, 0.7588, 7450.4883, A#8, 0.7347, 6373.8281, G8, 0.7327, 7310.5225, A#8, 0.7278, 7375.1221, A#8, 0.6813
