time, frequency 1, note 1, amplitude 1, frequency 2, note 2, amplitude 2, frequency 3, note 3, amplitude 3, frequency 4, note 4, amplitude 4, frequency 5, note 5, amplitude 5
0.000, 9765.3076, D#9, 6.7402, 8441.0156, C9, 5.8155, 9754.5410, D#9, 5.1930, 8451.7822, C9, 5.1721, 7881.1523, B8, 5.0795
0.100, 7870.3857, B8, 5.4347, 4995.7031, D#8, 4.3468, 7881.1523, B8, 4.1124, 6879.8584, A8, 3.8458, 9765.3076, D#9, 3.3719
0.200, 7881.1523, B8, 2.5721, 8451.7822, C9, 1.8296, 7870.3857, B8, 1.7765, 7461.2549, A#8, 1.5099, 7838.0859, B8, 1.5033
0.300, 7902.6855, B8, 8.9841, 7891.9189, B8, 7.9082, 7913.4521, B8, 7.6718, 9754.5410, D#9, 6.4340, 9765.3076, D#9, 6.3900
0.400, 8182.6172, C9, 5.6589, 6879.8584, A8, 5.4077, 8193.3838, C9, 5.2959, 9765.3076, D#9, 4.9971, 8441.0156, C9, 4.9292
0.500, 7310.5225, A#8, 2.6992, 9786.8408, D#9, 2.6365, 5307.9346, E8, 2.5621, 8903.9795, C#9, 2.5535, 7299.7559, A#8, 2.3884
0.600, 7493.5547, A#8, 0.6760, 8171.8506, C9, 0.6306, 6546.0938, G#8, 0.6194, 9797.6074, D#9, 0.5893, 7913.4521, B8, 0.5872
0.700, 9765.3076, D#9, 8.4435, 6546.0938, G#8, 7.1189, 7848.8525, B8, 6.6947, 9754.5410, D#9, 6.6577, 7881.1523, B8, 6.5992
0.800, 7870.3857, B8, 4.4956, 4995.7031, D#8, 3.9418, 6879.8584, A8, 3.6508, 7859.6191, B8, 3.5029, 7848.8525, B8, 3.3263
0.900, 7881.1523, B8, 1.6632, 7870.3857, B8, 1.5258, 8451.7822, C9, 1.2855, 8193.3838, C9, 1.1739, 8204.1504, C9, 1.1441
1.000, 7902.6855, B8, 11.0865, 7891.9189, B8, 10.5859, 9765.3076, D#9, 9.9181, 9754.5410, D#9, 9.0652, 7913.4521, B8, 8.3774
1.100, 7870.3857, B8, 5.7051, 6879.8584, A8, 5.3191, 8893.2129, C#9, 5.2296, 8182.6172, C9, 4.2939, 9765.3076, D#9, 4.2173
1.200, 7310.5225, A#8, 2.4759, 9786.8408, D#9, 2.3069, 7870.3857, B8, 2.2351, 7881.1523, B8, 2.1088, 7299.7559, A#8, 2.0683
1.300, 6546.0938, G#8, 1.0206, 7913.4521, B8, 0.9489, 7493.5547, A#8, 0.9050, 7095.1904, A8, 0.8452, 5813.9648, F#8, 0.8361
1.400, 8430.2490, C9, 5.1916, 9765.3076, D#9, 5.0302, 7848.8525, B8, 4.9235, 8204.1504, C9, 4.2580, 6546.0938, G#8, 4.1157
1.500, 7859.6191, B8, 3.6807, 7848.8525, B8, 3.5128, 6869.0918, A8, 3.3640, 4995.7031, D#8, 3.3436, 6879.8584, A8, 3.2813
1.600, 7870.3857, B8, 1.8058, 7881.1523, B8, 1.6074, 8204.1504, C9, 1.4392, 8193.3838, C9, 1.3960, 7848.8525, B8, 1.3692
1.700, 9765.3076, D#9, 12.4183, 7891.9189, B8, 11.1746, 7902.6855, B8, 10.9707, 9754.5410, D#9, 10.4495, 8441.0156, C9, 9.1298
1.800, 7870.3857, B8, 6.1672, 8893.2129, C#9, 4.9772, 7881.1523, B8, 4.9424, 6879.8584, A8, 4.8093, 4995.7031, D#8, 4.1208
1.900, 7881.1523, B8, 1.4430, 7870.3857, B8, 1.3650, 7310.5225, A#8, 1.2715, 8451.7822, C9, 1.2407, 8193.3838, C9, 1.1876
2.000, 7913.4521, B8, 2.1058, 9366.9434, D9, 1.7537, 9356.1768, D9, 1.6350, 7881.1523, B8, 1.6151, 7870.3857, B8, 1.5681
2.100, 8430.2490, C9, 6.8474, 7848.8525, B8, 6.6843, 9765.3076, D#9, 6.5264, 8441.0156, C9, 6.4056, 8193.3838, C9, 5.8744
2.200, 7848.8525, B8, 2.9914, 7859.6191, B8, 2.9749, 6869.0918, A8, 2.8555, 6879.8584, A8, 2.6324, 9851.4404, D#9, 2.6187
2.300, 7848.8525, B8, 1.2734, 7870.3857, B8, 1.2257, 7859.6191, B8, 1.2208, 8204.1504, C9, 1.0900, 7902.6855, B8, 1.0775
2.400, 9765.3076, D#9, 12.8922, 8441.0156, C9, 10.2802, 9754.5410, D#9, 10.2576, 7902.6855, B8, 9.0145, 7891.9189, B8, 8.8338
2.500, 7870.3857, B8, 6.1020, 7881.1523, B8, 5.2821, 4995.7031, D#8, 4.4643, 6879.8584, A8, 4.3203, 8893.2129, C#9, 3.9111
2.600, 7881.1523, B8, 2.4139, 8451.7822, C9, 1.9394, 7870.3857, B8, 1.8197, 8462.5488, C9, 1.6296, 7310.5225, A#8, 1.6262
