time, frequency 1, note 1, amplitude 1, frequency 2, note 2, amplitude 2, frequency 3, note 3, amplitude 3, frequency 4, note 4, amplitude 4, frequency 5, note 5, amplitude 5, frequency 6, note 6, amplitude 6, frequency 7, note 7, amplitude 7, frequency 8, note 8, amplitude 8, frequency 9, note 9, amplitude 9, frequency 10, note 10, amplitude 10, frequency 11, note 11, amplitude 11, frequency 12, note 12, amplitude 12, frequency 13, note 13, amplitude 13, frequency 14, note 14, amplitude 14, frequency 15, note 15, amplitude 15, frequency 16, note 16, amplitude 16, frequency 17, note 17, amplitude 17, frequency 18, note 18, amplitude 18, frequency 19, note 19, amplitude 19, frequency 20, note 20, amplitude 20
0.080, 7870.3857, B8, 5.9468, 7881.1523, B8, 5.0419, 8893.2129, C#9, 4.4468, 6879.8584, A8, 4.4205, 4995.7031, D#8, 4.1605, 6546.0938, G#8, 3.6584, 7902.6855, B8, 3.6452, 9765.3076, D#9, 3.6176, 9754.5410, D#9, 3.5544, 8903.9795, C#9, 3.3071, 8171.8506, C9, 3.2999, 7913.4521, B8, 3.2835, 4984.9365, D#8, 3.1019, 6556.8604, G#8, 2.9587, 6373.8281, G8, 2.9069, 7504.3213, A#8, 2.9032, 9808.3740, D#9, 2.8349, 8882.4463, C#9, 2.8349, 5630.9326, F8, 2.8224, 6869.0918, A8, 2.7670
0.220, 7870.3857, B8, 1.8238, 7881.1523, B8, 1.6472, 8204.1504, C9, 1.4458, 8193.3838, C9, 1.4019, 7848.8525, B8, 1.3662, 8451.7822, C9, 1.3610, 7891.9189, B8, 1.2060, 7461.2549, A#8, 1.1648, 9851.4404, D#9, 1.0911, 7838.0859, B8, 1.0448, 8462.5488, C9, 1.0200, 7902.6855, B8, 0.9665, 8441.0156, C9, 0.9344, 7181.3232, A8, 0.9339, 6384.5947, G8, 0.9226, 6965.9912, A8, 0.9006, 7859.6191, B8, 0.8860, 5620.1660, F8, 0.8677, 7450.4883, A#8, 0.8481, 6373.8281, G8, 0.8429
0.380, 8441.0156, C9, 6.7346, 7848.8525, B8, 6.3894, 8430.2490, C9, 6.3759, 9765.3076, D#9, 6.3442, 8193.3838, C9, 6.0777, 8451.7822, C9, 6.0038, 10292.8711, E9, 5.6127, 7838.0859, B8, 5.2737, 8204.1504, C9, 5.0411, 6384.5947, G8, 4.9297, 7859.6191, B8, 4.8519, 7881.1523, B8, 4.8087, 8462.5488, C9, 4.8054, 5329.4678, E8, 4.6925, 6879.8584, A8, 4.6372, 9776.0742, D#9, 4.5466, 5340.2344, E8, 4.3575, 8128.7842, B8, 4.2032, 8828.6133, C#9, 4.1632, 9216.2109, D9, 4.1186
0.560, 7881.1523, B8, 1.9174, 7870.3857, B8, 1.7707, 8451.7822, C9, 1.4340, 7891.9189, B8, 1.3661, 8204.1504, C9, 1.3446, 8193.3838, C9, 1.2988, 7461.2549, A#8, 1.1903, 7838.0859, B8, 1.1644, 7848.8525, B8, 1.1554, 8462.5488, C9, 1.0727, 9851.4404, D#9, 0.9856, 5824.7314, F#8, 0.9428, 6384.5947, G8, 0.9256, 7181.3232, A8, 0.8987, 7450.4883, A#8, 0.8707, 7310.5225, A#8, 0.8599, 5620.1660, F8, 0.8565, 6965.9912, A8, 0.8473, 6373.8281, G8, 0.8367, 8441.0156, C9, 0.8302
0.720, 8430.2490, C9, 6.8443, 7848.8525, B8, 6.6582, 9765.3076, D#9, 6.5178, 8441.0156, C9, 6.3084, 10292.8711, E9, 5.7955, 8193.3838, C9, 5.7920, 8204.1504, C9, 5.4686, 8451.7822, C9, 5.4536, 7838.0859, B8, 5.4145, 5329.4678, E8, 5.1169, 7881.1523, B8, 5.0254, 8462.5488, C9, 4.8997, 6384.5947, G8, 4.6731, 8128.7842, B8, 4.6476, 6879.8584, A8, 4.6144, 7859.6191, B8, 4.6069, 8828.6133, C#9, 4.4522, 5340.2344, E8, 4.4443, 6061.5967, F#8, 4.4230, 9776.0742, D#9, 4.3205
0.920, 7848.8525, B8, 1.2770, 7870.3857, B8, 1.2534, 7859.6191, B8, 1.2187, 8204.1504, C9, 1.1066, 8193.3838, C9, 1.0914, 7902.6855, B8, 1.0707, 8182.6172, C9, 0.9432, 9851.4404, D#9, 0.9369, 7881.1523, B8, 0.8901, 7461.2549, A#8, 0.8503, 8451.7822, C9, 0.8474, 6040.0635, F#8, 0.8280, 4995.7031, D#8, 0.8012, 8903.9795, C#9, 0.7916, 8462.5488, C9, 0.7826, 8171.8506, C9, 0.7804, 7913.4521, B8, 0.7640, 6965.9912, A8, 0.7462, 7504.3213, A#8, 0.7401, 7493.5547, A#8, 0.7320
1.080, 8441.0156, C9, 6.4926, 8193.3838, C9, 6.0987, 8451.7822, C9, 6.0627, 9765.3076, D#9, 5.7452, 8182.6172, C9, 5.5108, 6879.8584, A8, 5.0310, 8430.2490, C9, 4.9105, 7859.6191, B8, 4.7233, 7838.0859, B8, 4.7049, 6384.5947, G8, 4.6939, 7848.8525, B8, 4.6168, 10292.8711, E9, 4.4939, 8462.5488, C9, 4.4245, 7881.1523, B8, 4.2800, 8171.8506, C9, 4.0558, 10228.2715, D#9, 3.9825, 6373.8281, G8, 3.8239, 5340.2344, E8, 3.7618, 9776.0742, D#9, 3.7550, 7299.7559, A#8, 3.7085
1.240, 7881.1523, B8, 2.4180, 7870.3857, B8, 1.8712, 8451.7822, C9, 1.7361, 7891.9189, B8, 1.4717, 7461.2549, A#8, 1.4610, 8193.3838, C9, 1.4572, 7838.0859, B8, 1.4390, 8462.5488, C9, 1.3360, 5824.7314, F#8, 1.2601, 8204.1504, C9, 1.2493, 7848.8525, B8, 1.1511, 7310.5225, A#8, 1.1218, 5620.1660, F8, 1.0866, 9851.4404, D#9, 1.0112, 7450.4883, A#8, 1.0002, 6965.9912, A8, 0.9951, 10228.2715, D#9, 0.9932, 6384.5947, G8, 0.9637, 6373.8281, G8, 0.9503, 5835.4980, F#8, 0.9292
1.420, 8441.0156, C9, 5.4039, 8193.3838, C9, 5.1451, 8451.7822, C9, 5.0223, 9765.3076, D#9, 4.7101, 8182.6172, C9, 4.3740, 8430.2490, C9, 4.2631, 7848.8525, B8, 4.2237, 6879.8584, A8, 4.1100, 6384.5947, G8, 3.9731, 10292.8711, E9, 3.9032, 7838.0859, B8, 3.8659, 7859.6191, B8, 3.7597, 8462.5488, C9, 3.7160, 7881.1523, B8, 3.5913, 8171.8506, C9, 3.5151, 8204.1504, C9, 3.3493, 10228.2715, D#9, 3.2917, 9776.0742, D#9, 3.2323, 6373.8281, G8, 3.1460, 5340.2344, E8, 3.1193
1.580, 7881.1523, B8, 2.5610, 8451.7822, C9, 1.8179, 7870.3857, B8, 1.7879, 7461.2549, A#8, 1.5018, 7838.0859, B8, 1.4986, 8193.3838, C9, 1.4682, 8462.5488, C9, 1.4608, 7891.9189, B8, 1.4115, 5824.7314, F#8, 1.3902, 7310.5225, A#8, 1.2413, 5620.1660, F8, 1.1676, 10228.2715, D#9, 1.1510, 7848.8525, B8, 1.0802, 7450.4883, A#8, 1.0373, 6965.9912, A8, 1.0211, 8204.1504, C9, 1.0139, 6373.8281, G8, 0.9841, 6879.8584, A8, 0.9811, 5835.4980, F#8, 0.9683, 9916.0400, D#9, 0.9637
