time, frequency 1, note 1, frequency 2, note 2, frequency 3, note 3, frequency 4, note 4, frequency 5, note 5
0.080, 7870.3857, B8, 7881.1523, B8, 8893.2129, C#9, 6879.8584, A8, 4995.7031, D#8
0.220, 7870.3857, B8, 7881.1523, B8, 8204.1504, C9, 8193.3838, C9, 7848.8525, B8
0.380, 8441.0156, C9, 7848.8525, B8, 8430.2490, C9, 9765.3076, D#9, 8193.3838, C9
0.560, 7881.1523, B8, 7870.3857, B8, 8451.7822, C9, 7891.9189, B8, 8204.1504, C9
0.720, 8430.2490, C9, 7848.8525, B8, 9765.3076, D#9, 8441.0156, C9, 10292.8711, E9
0.920, 7848.8525, B8, 7870.3857, B8, 7859.6191, B8, 8204.1504, C9, 8193.3838, C9
1.080, 8441.0156, C9, 8193.3838, C9, 8451.7822, C9, 9765.3076, D#9, 8182.6172, C9
1.240, 7881.1523, B8, 7870.3857, B8, 8451.7822, C9, 7891.9189, B8, 7461.2549, A#8
1.420, 8441.0156, C9, 8193.3838, C9, 8451.7822, C9, 9765.3076, D#9, 8182.6172, C9
1.580, 7881.1523, B8, 8451.7822, C9, 7870.3857, B8, 7461.2549, A#8, 7838.0859, B8
1.780, 8182.6172, C9, 6879.8584, A8, 8193.3838, C9, 9765.3076, D#9, 8441.0156, C9
1.940, 7870.3857, B8, 7881.1523, B8, 8204.1504, C9, 8451.7822, C9, 8193.3838, C9
2.100, 8430.2490, C9, 7848.8525, B8, 9765.3076, D#9, 8441.0156, C9, 8193.3838, C9
2.280, 7881.1523, B8, 7870.3857, B8, 8451.7822, C9, 8193.3838, C9, 8204.1504, C9
2.440, 8430.2490, C9, 7848.8525, B8, 9765.3076, D#9, 10292.8711, E9, 8441.0156, C9
2.640, 7870.3857, B8, 7848.8525, B8, 8204.1504, C9, 8193.3838, C9, 7881.1523, B8
